Original_Index,Split,GroundTruth_CD,Predicted_CD,Error,Error_Class
419,Training,7.641767502,8.956806183,1.315038681,
420,Validation,20.54848862,15.84988213,4.698606491,
421,Training,34.19173813,24.22727776,9.964460373,
422,Validation,17.77969551,16.69371033,1.085985184,
423,Training,15.22489071,10.21336269,5.011528015,
424,Training,10.09578037,8.555251122,1.540529251,
425,Training,11.06014729,8.855453491,2.204693794,
426,Validation,8.815969467,7.134186745,1.681782722,
427,Training,8.964571953,5.671929359,3.292642593,
428,Training,10.64433575,8.206168175,2.438167572,
429,Training,12.07593632,9.800515175,2.275421143,
430,Training,14.68035698,12.00232887,2.678028107,
431,Training,14.39996338,13.2934618,1.106501579,
432,Training,9.013528824,8.823498726,0.190030098,
433,Validation,9.746362686,9.619901657,0.1264610291,
434,Training,10.14435863,9.161974907,0.982383728,
435,Testing,13.15001392,9.900988579,3.249025345,1
436,Training,9.743886948,8.061295509,1.682591438,
437,Training,9.445610046,8.16238308,1.283226967,
438,Validation,9.946088791,7.299303055,2.646785736,
439,Training,8.890702248,7.083246708,1.80745554,
440,Validation,8.516557693,6.772148609,1.744409084,
441,Training,12.585742,8.689967155,3.895774841,
442,Training,12.67975903,10.60423088,2.075528145,
443,Testing,8.190992355,7.901882172,0.2891101837,0
444,Training,9.860092163,8.853928566,1.006163597,
445,Testing,8.699047089,7.868031025,0.8310160637,0
446,Training,9.281746864,6.640423775,2.64132309,
447,Training,10.41186333,10.4964323,0.08456897736,
448,Testing,9.392808914,8.744590759,0.6482181549,0
449,Validation,8.432396889,7.40290451,1.029492378,
450,Validation,10.43937206,7.424011707,3.015360355,
451,Validation,8.866194725,7.20247364,1.663721085,
452,Training,9.199994087,7.474236488,1.725757599,
453,Training,13.37655163,8.675983429,4.700568199,
454,Training,10.05440903,7.248666286,2.805742741,
455,Validation,8.375091553,6.753742218,1.621349335,
456,Training,9.110134125,8.909052849,0.2010812759,
457,Training,8.523181915,6.4563241,2.066857815,
458,Testing,9.323571205,6.55690527,2.766665936,0
459,Testing,13.40128231,11.06659985,2.334682465,1
460,Training,10.13687801,7.477608681,2.659269333,
461,Training,10.58400345,8.491045952,2.092957497,
462,Training,9.960264206,10.28929424,0.3290300369,
463,Training,8.711167336,6.760340691,1.950826645,
464,Training,8.706978798,7.725748062,0.9812307358,
465,Testing,12.58547878,9.133624077,3.451854706,1
466,Testing,7.860252857,8.628260612,0.7680077553,0
467,Training,9.385502815,8.06866169,1.316841125,
468,Validation,9.850029945,9.48554039,0.3644895554,
469,Training,7.860480309,7.190199852,0.6702804565,
470,Training,10.80191708,9.070477486,1.73143959,
471,Training,11.54573631,11.52739429,0.01834201813,
472,Testing,10.53481579,9.278943062,1.255872726,1
473,Training,9.48117733,8.650401115,0.8307762146,
474,Validation,10.42746544,9.922211647,0.5052537918,
475,Training,7.702741146,8.39277935,0.6900382042,
476,Training,8.800677299,6.198961735,2.601715565,
477,Training,14.41874123,10.35882759,4.059913635,
478,Training,7.461420536,7.202110767,0.2593097687,
479,Training,9.460050583,7.53092289,1.929127693,
480,Validation,9.623753548,9.817234993,0.1934814453,
481,Training,9.669106483,9.078454971,0.5906515121,
482,Training,9.833508492,9.999522209,0.1660137177,
483,Training,12.41291714,11.01458454,1.398332596,
484,Testing,13.09199429,10.23091602,2.861078262,1
485,Training,9.518499374,9.487980843,0.0305185318,
486,Training,10.77813148,11.89826775,1.120136261,
487,Training,9.496865273,9.277028084,0.2198371887,
488,Testing,7.856584549,6.341244698,1.515339851,0
489,Training,14.45953083,9.561619759,4.897911072,
490,Training,7.883006096,5.979910374,1.903095722,
491,Testing,8.924819946,9.210931778,0.2861118317,0
